Report_Year,Period,Rank,Location_Name,Latitude,Longitude,Geocoded_Location_Match,Category,Google_Maps_URL
2019,2017-2019,8,Sion Panvel Highway,19.0517837,72.9387114,Sion-Panvel Highway,High Risk Corridor,"https://www.google.com/maps?q=19.051784,72.938711"
2019,2017-2019,9,Ghatkopar - Mankhurd Link Road,19.0604303,72.9218244,Ghatkopar-Mankhurd Link Road,High Risk Corridor,"https://www.google.com/maps?q=19.060430,72.921824"
2019,2017-2019,10,Eastern Express Highway,19.0668421,72.9012947,Eastern Express Highway,High Risk Corridor,"https://www.google.com/maps?q=19.066842,72.901295"
2019,2017-2019,11,Malad Marve Road,19.1955975,72.8333997,Malad-Marve Road,High Risk Corridor,"https://www.google.com/maps?q=19.195598,72.833400"
2019,2017-2019,12,Santa Cruz - Chembur Link Road,19.0752075,72.872816,Santacruz-Chembur Link Road,High Risk Corridor,"https://www.google.com/maps?q=19.075208,72.872816"
2019,2017-2019,13,Mathuradas Vasanji Road (Andheri Kurla Road),19.1041784,72.8867557,Sir Mathuradas Vasanji Rd & Andheri-Kurla Rd intersection,High Risk Corridor,"https://www.google.com/maps?q=19.104178,72.886756"
2019,2017-2019,14,Aarey Colony Road,19.1511513,72.8757766,Aarey Road,High Risk Corridor,"https://www.google.com/maps?q=19.151151,72.875777"
2019,2017-2019,15,Goregaon Mulund Link Road,19.1621611,72.9428795,Mulund-Goregaon Link Road,High Risk Corridor,"https://www.google.com/maps?q=19.162161,72.942880"
2020,2018-2020,1,Ghatkopar - Mahul Road,19.0335958,72.8960583,"Mahul Road, Chembur (approx.)",High Risk Corridor,"https://www.google.com/maps?q=19.033596,72.896058"
2020,2018-2020,2,Ghatkopar Flyover,19.0579672,72.9261728,Ghatkopar Mankhurd Link Road Flyover (approx.),High Risk Corridor,"https://www.google.com/maps?q=19.057967,72.926173"
2020,2018-2020,3,Asha Nagar Road,19.2090329,72.8671866,"Asha Nagar Road, Kandivali East",High Risk Corridor,"https://www.google.com/maps?q=19.209033,72.867187"
2020,2018-2020,4,Bandra Kurla Complex Road,19.0622141,72.8596018,Bandra Kurla Complex Road,High Risk Corridor,"https://www.google.com/maps?q=19.062214,72.859602"
2020,2018-2020,5,Western Express Highway,19.1552103,72.856937,Western Express Highway,High Risk Corridor,"https://www.google.com/maps?q=19.155210,72.856937"
2020,2018-2020,6,General A K Vaidya Marg,19.1755064,72.8701913,General Arun Kumar Vaidya Marg,High Risk Corridor,"https://www.google.com/maps?q=19.175506,72.870191"
2020,2018-2020,7,Sion - Panvel Highway,19.0517837,72.9387114,Sion-Panvel Highway,High Risk Corridor,"https://www.google.com/maps?q=19.051784,72.938711"
2020,2018-2020,8,Ramakrishna Chemburkar Marg (Ghatkopar - Mahul Road),19.0335958,72.8960583,"Mahul Road, Chembur (approx.)",High Risk Corridor,"https://www.google.com/maps?q=19.033596,72.896058"
2020,2018-2020,9,Eastern Express Highway,19.0668421,72.9012947,Eastern Express Highway,High Risk Corridor,"https://www.google.com/maps?q=19.066842,72.901295"
2020,2018-2020,10,Malad - Marve Road,19.1955975,72.8333997,Malad-Marve Road,High Risk Corridor,"https://www.google.com/maps?q=19.195598,72.833400"
2020,2018-2020,11,Ghatkopar - Mankhurd Link Road,19.0604303,72.9218244,Ghatkopar-Mankhurd Link Road,High Risk Corridor,"https://www.google.com/maps?q=19.060430,72.921824"
2020,2018-2020,12,Adi Sankaracharya Marg,19.1238525,72.9120186,Adi Shankaracharya Marg,High Risk Corridor,"https://www.google.com/maps?q=19.123853,72.912019"
2020,2018-2020,13,Mathuradas Vasanji Road (Andheri - Kurla Road),19.1041784,72.8867557,Sir Mathuradas Vasanji Rd & Andheri-Kurla Rd intersection,High Risk Corridor,"https://www.google.com/maps?q=19.104178,72.886756"
2020,2018-2020,14,Lal Bahadur Shastri Marg,19.1062332,72.9227063,Lal Bahadur Shastri Marg,High Risk Corridor,"https://www.google.com/maps?q=19.106233,72.922706"
2020,2018-2020,15,Rafi Ahmed Kidwai Marg,19.0151655,72.8569221,R.A. Kidwai Marg,High Risk Corridor,"https://www.google.com/maps?q=19.015165,72.856922"
2021,2019-2021,1,Dr Babasaheb Ambedkar Marg,19.0102812,72.8427116,Dr Babasaheb Ambedkar Road,High Risk Corridor,"https://www.google.com/maps?q=19.010281,72.842712"
2021,2019-2021,2,NS Road,19.1760758,72.9535336,"Netaji Subhash Chandra ('NS') Road, Mulund West",High Risk Corridor,"https://www.google.com/maps?q=19.176076,72.953534"
2021,2019-2021,3,Western Express Highway,19.1552103,72.856937,Western Express Highway,High Risk Corridor,"https://www.google.com/maps?q=19.155210,72.856937"
2021,2019-2021,4,Ghatkopar - Mankhurd Link Road,19.0604303,72.9218244,Ghatkopar-Mankhurd Link Road,High Risk Corridor,"https://www.google.com/maps?q=19.060430,72.921824"
2021,2019-2021,5,New Link Road,19.1898948,72.8354623,New Link Road,High Risk Corridor,"https://www.google.com/maps?q=19.189895,72.835462"
2021,2019-2021,6,Eastern Express Highway,19.0668421,72.9012947,Eastern Express Highway,High Risk Corridor,"https://www.google.com/maps?q=19.066842,72.901295"
2021,2019-2021,7,Sion Panvel Highway,19.0517837,72.9387114,Sion-Panvel Highway,High Risk Corridor,"https://www.google.com/maps?q=19.051784,72.938711"
2021,2019-2021,8,Bombay Port Trust Road,19.0000443,72.855544,Bombay Port Trust Road,High Risk Corridor,"https://www.google.com/maps?q=19.000044,72.855544"
2021,2019-2021,9,Swami Vivekanand Road,19.2450887,72.860641,Swami Vivekanand Road,High Risk Corridor,"https://www.google.com/maps?q=19.245089,72.860641"
2021,2019-2021,10,Jogeshwari - Vikhroli Link Road,19.1246678,72.8958665,Jogeshwari-Vikhroli Link Road,High Risk Corridor,"https://www.google.com/maps?q=19.124668,72.895866"
2021,2019-2021,11,Marve Road,19.1959489,72.8228515,"Marve Road, Malad",High Risk Corridor,"https://www.google.com/maps?q=19.195949,72.822851"
2021,2019-2021,12,"CST Road, Santacruz East",19.0727162,72.8666301,"CST Road, Santacruz East",High Risk Corridor,"https://www.google.com/maps?q=19.072716,72.866630"
2021,2019-2021,13,Lal Bahadur Shastri Marg,19.1062332,72.9227063,Lal Bahadur Shastri Marg,High Risk Corridor,"https://www.google.com/maps?q=19.106233,72.922706"
2021,2019-2021,14,Senapati Bapat Marg,19.01463,72.8384913,Senapati Bapat Marg,High Risk Corridor,"https://www.google.com/maps?q=19.014630,72.838491"
2021,2019-2021,15,Aarey Colony Road,19.1511513,72.8757766,Aarey Road,High Risk Corridor,"https://www.google.com/maps?q=19.151151,72.875777"
2022,2020-2022,1,Dr Babasaheb Ambedkar Marg,19.0102812,72.8427116,Dr Babasaheb Ambedkar Road,High Risk Corridor,"https://www.google.com/maps?q=19.010281,72.842712"
2022,2020-2022,2,NS Road,19.1760758,72.9535336,"Netaji Subhash Chandra ('NS') Road, Mulund West",High Risk Corridor,"https://www.google.com/maps?q=19.176076,72.953534"
2022,2020-2022,3,Ghatkopar - Mankhurd Link Road,19.0604303,72.9218244,Ghatkopar-Mankhurd Link Road,High Risk Corridor,"https://www.google.com/maps?q=19.060430,72.921824"
2022,2020-2022,4,Western Express Highway,19.1552103,72.856937,Western Express Highway,High Risk Corridor,"https://www.google.com/maps?q=19.155210,72.856937"
2022,2020-2022,5,Eastern Express Highway,19.0668421,72.9012947,Eastern Express Highway,High Risk Corridor,"https://www.google.com/maps?q=19.066842,72.901295"
2022,2020-2022,6,New Link Road,19.1898948,72.8354623,New Link Road,High Risk Corridor,"https://www.google.com/maps?q=19.189895,72.835462"
2022,2020-2022,7,Jogeshwari - Vikhroli Link Road,19.1246678,72.8958665,Jogeshwari-Vikhroli Link Road,High Risk Corridor,"https://www.google.com/maps?q=19.124668,72.895866"
2022,2020-2022,8,Swami Vivekanand Road,19.2450887,72.860641,Swami Vivekanand Road,High Risk Corridor,"https://www.google.com/maps?q=19.245089,72.860641"
2022,2020-2022,9,Marve Road,19.1959489,72.8228515,"Marve Road, Malad",High Risk Corridor,"https://www.google.com/maps?q=19.195949,72.822851"
2022,2020-2022,10,Bombay Port Trust Road,19.0000443,72.855544,Bombay Port Trust Road,High Risk Corridor,"https://www.google.com/maps?q=19.000044,72.855544"
2022,2020-2022,11,Sion Panvel Highway,19.0517837,72.9387114,Sion-Panvel Highway,High Risk Corridor,"https://www.google.com/maps?q=19.051784,72.938711"
2022,2020-2022,12,Senapati Bapat Marg,19.01463,72.8384913,Senapati Bapat Marg,High Risk Corridor,"https://www.google.com/maps?q=19.014630,72.838491"
2022,2020-2022,13,LBS Marg,19.1062332,72.9227063,Lal Bahadur Shastri Marg,High Risk Corridor,"https://www.google.com/maps?q=19.106233,72.922706"
2022,2020-2022,14,Santacruz Chembur Link Road,19.0752075,72.872816,Santacruz-Chembur Link Road,High Risk Corridor,"https://www.google.com/maps?q=19.075208,72.872816"
2022,2020-2022,15,Eastern Freeway,19.0131775,72.8715485,Eastern Freeway,High Risk Corridor,"https://www.google.com/maps?q=19.013178,72.871549"
2023,2021-2023,1,Dr. Babasaheb Ambedkar Road,19.0102812,72.8427116,Dr Babasaheb Ambedkar Road,High Risk Corridor,"https://www.google.com/maps?q=19.010281,72.842712"
2023,2021-2023,2,Ghatkopar - Mankhurd Link Road,19.0604303,72.9218244,Ghatkopar-Mankhurd Link Road,High Risk Corridor,"https://www.google.com/maps?q=19.060430,72.921824"
2023,2021-2023,3,Western Express Highway,19.1552103,72.856937,Western Express Highway,High Risk Corridor,"https://www.google.com/maps?q=19.155210,72.856937"
2023,2021-2023,4,Jogeshwari - Vikhroli Link Road,19.1246678,72.8958665,Jogeshwari-Vikhroli Link Road,High Risk Corridor,"https://www.google.com/maps?q=19.124668,72.895866"
2023,2021-2023,5,Eastern Express Highway,19.0668421,72.9012947,Eastern Express Highway,High Risk Corridor,"https://www.google.com/maps?q=19.066842,72.901295"
2023,2021-2023,6,Swami Vivekanand Road,19.2450887,72.860641,Swami Vivekanand Road,High Risk Corridor,"https://www.google.com/maps?q=19.245089,72.860641"
2023,2021-2023,7,New Link Road,19.1898948,72.8354623,New Link Road,High Risk Corridor,"https://www.google.com/maps?q=19.189895,72.835462"
2023,2021-2023,8,Sion Panvel Highway,19.0517837,72.9387114,Sion-Panvel Highway,High Risk Corridor,"https://www.google.com/maps?q=19.051784,72.938711"
2023,2021-2023,9,Senapati Bapat Marg,19.01463,72.8384913,Senapati Bapat Marg,High Risk Corridor,"https://www.google.com/maps?q=19.014630,72.838491"
2023,2021-2023,10,Andheri Kurla Road,19.1041784,72.8867557,Sir Mathuradas Vasanji Rd & Andheri-Kurla Rd intersection,High Risk Corridor,"https://www.google.com/maps?q=19.104178,72.886756"
2023,2021-2023,11,Bandra Kurla Complex Road,19.0622141,72.8596018,Bandra Kurla Complex Road,High Risk Corridor,"https://www.google.com/maps?q=19.062214,72.859602"
2023,2021-2023,12,Santacruz - Chembur Link Road,19.0752075,72.872816,Santacruz-Chembur Link Road,High Risk Corridor,"https://www.google.com/maps?q=19.075208,72.872816"
2023,2021-2023,13,Lal Bahadur Shastri Marg,19.1062332,72.9227063,Lal Bahadur Shastri Marg,High Risk Corridor,"https://www.google.com/maps?q=19.106233,72.922706"
2023,2021-2023,14,"Western Express Highway, Service Road",19.1552103,72.856937,Western Express Highway,High Risk Corridor,"https://www.google.com/maps?q=19.155210,72.856937"
2023,2021-2023,15,Eastern Freeway,19.0131775,72.8715485,Eastern Freeway,High Risk Corridor,"https://www.google.com/maps?q=19.013178,72.871549"
